"2017-11-30 22:02:17.172768"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"B.A.G Films & Media Ltd.","8.36","9.10","9.10","8.07","3.88","-0.07","","","","2.85%","14.09%","23.59%","1.09%","0.99%","532507","BSE"
"Baid Leasing & Finance Co","150.15","157.85","172.50","145.50","64.20","4.31","34.81","0.33","0.50","13.93%","58.66%","59.36%","3.01%","14.94%","511724","BSE"
"Bajaj Holdings And Investment Ltd","2,820.00","2,901.65","3,020.25","2,807.00","1,745.00","240.75","11.71","1.15","32.50","58.86%","73.90%","75.14%","2.97%","14.94%","500490","BSE"
"Bajaj Auto Ltd","3,311.70","3,371.50","3,371.50","3,290.00","3,290.00","133.72","24.77","1.66","55.00","16.57%","17.98%","19.31%","19.68%","25.60%","532977","BSE"
"Bajaj Corp Ltd","495.00","496.00","520.00","479.00","340.00","8.14","60.81","2.32","11.50","27.39%","30.16%","33.13%","37.77%","44.76%","533229","BSE"
"Bajaj Electricals Ltd","469.45","484.00","500.80","457.00","203.80","10.67","43.99","0.60","2.80","2.38%","5.00%","5.82%","3.39%","12.64%","500031","BSE"
"Bajaj Finserv Ltd","5,223.55","5,266.75","5,835.00","5,171.00","2,541.00","154.34","33.84","0.03","1.75","14.08%","35.26%","35.55%","2.97%","15.48%","532978","BSE"
"Bajaj Steel Industries Ltd","176.50","179.90","187.25","175.20","117.50","30.43","5.80","","","-3.72%","-2.69%","0.76%","-4.00%","-15.02%","507944","BSE"
"Bajaj Hindusthan Sugar Ltd","15.23","15.53","18.44","15.15","12.90","0.12","122.55","","","-1.99%","13.15%","18.40%","-0.66%","-2.61%","500032","BSE"
"Bajaj Finance Ltd","1,735.00","1,759.00","1,989.00","1,720.00","762.30","17.77","97.64","0.25","3.60","18.41%","28.18%","28.89%","3.32%","21.57%","500034","BSE"
"Bal Pharma Ltd","94.05","98.00","117.00","94.00","85.05","1.54","61.12","1.06","1.00","-0.32%","3.38%","6.22%","-0.33%","3.37%","524824","BSE"
"Balaji Amines Limited","615.40","626.85","668.40","607.45","271.10","17.78","34.61","0.36","2.20","12.28%","19.40%","22.24%","13.29%","25.97%","530999","BSE"
"Balaji Telefilms Limited (Parent)","169.00","173.00","203.00","168.00","81.25","-4.24","","0.24","0.40","-7.06%","-7.19%","-1.88%","-4.78%","-5.40%","532382","BSE"
"Ballarpur Industries Ltd","13.55","13.80","22.70","13.40","11.30","-19.62","","","","-67.64%","-36.79%","-9.44%","-10.14%","-70.95%","500102","BSE"
"Balasore Alloys Limited","82.15","83.90","99.90","81.00","42.90","0.07","1,179.47","0.91","0.75","8.84%","15.42%","21.96%","5.84%","10.00%","513142","BSE"
"Balkrishna Industries Limited","2,147.05","2,159.00","2,247.15","2,090.00","930.00","8.86","242.38","0.44","2.50","18.95%","21.86%","29.91%","12.82%","22.69%","502355","BSE"
"Balmer Lawrie Investments Ltd.","473.00","485.00","485.00","455.00","362.00","24.00","19.71","3.59","17.00","92.78%","97.76%","98.02%","30.78%","36.86%","532485","BSE"
"Balmer Lawrie and Company Ltd","279.35","283.00","302.00","278.35","201.00","","","2.51","7.00","9.30%","10.12%","11.53%","8.89%","13.09%","523319","BSE"
"Balrampur Chini Mills Ltd","159.70","164.00","182.50","158.50","115.60","-1.91","","1.57","2.50","16.28%","21.93%","24.80%","15.34%","42.51%","500038","BSE"
"Balurghat Technologies Ltd","5.35","5.35","5.35","5.35","2.10","0.32","16.56","","","1.42%","2.15%","2.85%","4.27%","7.04%","520127","BSE"
"Bambino Agro Industries Ltd","231.70","240.50","310.95","218.10","166.70","3.03","76.42","0.69","1.60","1.63%","6.63%","7.95%","2.20%","7.38%","519295","BSE"
"BAMPSL Securities Ltd","2.65","","2.65","","0.17","0.12","22.74","","","7.20%","10.86%","13.88%","0.27%","0.28%","531591","BSE"
"Banaras Beads Ltd","67.15","73.40","102.45","66.55","42.25","2.54","26.40","1.49","1.00","6.11%","6.02%","13.72%","3.30%","3.93%","526849","BSE"
"Banco Products (I) Ltd.","253.20","260.00","264.00","246.00","168.00","12.44","20.35","3.55","4.00","7.19%","8.16%","10.63%","9.94%","13.81%","500039","BSE"
"Bang Overseas Limited","40.40","40.50","52.40","38.15","26.80","0.08","519.15","","","3.14%","2.45%","3.63%","3.84%","7.72%","532946","BSE"
"Bank of Maharashtra Ltd","27.10","27.40","40.70","26.85","24.50","","","","","-28.85%","-45.24%","-25.46%","-0.85%","-16.61%","532525","BSE"
