"2017-11-30 23:09:11.325591"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Cubex Tubings Ltd.","34.65","34.65","43.90","34.65","10.70","0.26","135.16","","","0.78%","-3.08%","0.14%","0.52%","0.63%","526027","BSE"
"Cubical Financial Services Ltd","1.20","","1.50","","1.01","","","","","","","","","","511710","BSE"
"Cummins India Ltd (Parent)","868.25","869.90","1,096.20","859.00","750.00","26.02","33.37","1.61","9.00","12.00%","13.18%","14.74%","13.27%","19.69%","500480","BSE"
"Cupid Ltd","259.10","263.00","364.40","256.50","251.05","19.45","13.32","1.54","2.00","24.77%","36.45%","38.98%","33.48%","46.97%","530843","BSE"
"Cura Technologies Ltd","5.30","5.30","17.31","5.30","3.46","","","","","-925.58%","-1681.92%","-1678.46%","-81.11%","-182.62%","532332","BSE"
"Cyber Media India Ltd.","14.55","14.85","19.85","14.20","7.23","0.60","24.07","","","-6.17%","-8.01%","-1.81%","-3.87%","-11.73%","532640","BSE"
"Cybertech Systems and Software Ltd","72.00","73.60","95.30","71.90","48.00","3.15","22.89","1.39","1.00","12.82%","5.69%","10.62%","10.94%","16.79%","532173","BSE"
"DB Corp Ltd","361.00","363.90","395.20","361.00","345.00","20.03","18.02","2.29","4.00","16.60%","24.71%","28.55%","18.55%","25.01%","533151","BSE"
"D B Realty Ltd","37.70","38.35","53.85","36.80","32.25","-0.76","","","","-56.07%","-70.27%","-62.38%","-1.23%","-2.19%","533160","BSE"
"LT Foods Ltd","70.30","72.40","471.90","69.15","45.10","5.04","13.96","0.21","0.15","3.92%","9.52%","11.17%","4.96%","19.69%","532783","BSE"
"Dabur India Ltd","346.80","353.55","360.45","337.85","258.80","7.08","48.96","0.65","1.25","16.62%","17.90%","19.76%","17.46%","28.32%","500096","BSE"
"Dai Ichi Karkaria Ltd","394.00","398.00","563.00","388.10","365.50","","","0.76","3.00","8.99%","12.11%","13.25%","9.47%","11.83%","526821","BSE"
"Daikaffil Chemicals India Ltd","69.00","73.00","85.00","68.25","55.50","1.80","38.34","","1.20","7.83%","11.31%","16.06%","9.42%","11.70%","530825","BSE"
"Dalmia Bharat Ltd","3,150.75","3,175.00","3,348.95","3,092.20","1,186.40","54.42","57.89","0.07","2.20","5.18%","15.49%","22.72%","2.40%","6.70%","533309","BSE"
"Dalmia Bharat Sugar and Industries Ltd","145.30","148.35","202.20","144.00","116.40","","","1.38","2.00","10.81%","19.91%","24.16%","8.33%","30.18%","500097","BSE"
"Damodar Industries Ltd","130.00","130.00","146.80","125.95","70.00","8.65","15.03","3.08","2.80","1.26%","3.65%","5.34%","4.27%","9.73%","521220","BSE"
"Danlaw Technologies India Limited","80.75","82.00","84.50","74.70","41.00","-4.82","","","","-12.11%","7.74%","9.22%","-5.87%","-6.14%","532329","BSE"
"Datamatics Global Services Ltd","131.50","134.40","164.85","124.40","79.00","15.06","8.73","0.57","0.75","10.25%","9.44%","9.52%","12.24%","18.96%","532528","BSE"
"DB International Stock Brokers Ltd","8.95","","16.05","","8.95","0.10","85.25","","","8.70%","11.23%","13.50%","0.87%","1.00%","530393","BSE"
"DCM Financial Services Ltd","3.08","3.15","8.55","3.04","1.91","0.77","3.99","","","","","","1.95%","","511611","BSE"
"DCM Ltd.","114.90","116.20","153.00","112.85","100.80","-10.09","","","","-0.80%","1.70%","4.93%","-1.08%","-3.43%","502820","BSE"
"DCM Shriram Ltd","562.05","569.20","598.50","552.85","195.85","43.00","13.07","0.57","4.00","9.03%","10.84%","12.84%","10.44%","23.89%","523367","BSE"
"DCM Shriram Industries Limited","326.00","331.00","385.00","324.50","208.00","","","3.07","6.50","8.10%","11.68%","12.87%","10.99%","38.55%","523369","BSE"
"DCW Limited","43.00","43.70","55.35","42.25","27.50","-0.77","","","","1.54%","5.84%","11.04%","1.03%","3.12%","500117","BSE"
"De Nora India Ltd","244.65","246.90","332.00","241.90","214.00","0.96","254.92","0.82","2.00","10.65%","3.55%","6.69%","4.65%","5.76%","590031","BSE"
"Deccan Cements Ltd.","566.00","573.70","1,279.90","565.05","540.35","30.52","18.55","0.53","3.00","8.02%","13.34%","17.00%","8.99%","15.32%","502137","BSE"
"Deccan Gold Mines Ltd","38.45","39.00","55.00","38.00","32.70","","","","","","","","-26.26%","-27.18%","512068","BSE"
"Decolight Ceramics Limited","1.15","","4.35","","1.15","-2.49","","","","-1198.51%","-910.64%","-344.02%","-32.58%","-91.30%","532858","BSE"
"Deep Industries Limited","213.55","216.00","343.70","211.40","192.00","3.81","56.04","0.84","1.80","26.69%","44.02%","56.10%","10.54%","23.28%","532760","BSE"
"Deepak Fertilisers & Petrochemicals Corp","396.00","408.10","499.80","390.50","165.00","","","1.52","6.00","4.07%","8.11%","11.99%","3.88%","10.80%","500645","BSE"
"Deepak Nitrite Ltd.","208.10","211.00","234.00","207.40","75.80","5.06","41.12","0.58","1.20","7.20%","12.50%","10.46%","6.32%","16.44%","506401","BSE"
"Deepak Spinners Ltd","87.75","87.75","114.00","86.10","75.00","6.53","13.43","2.28","2.00","1.51%","4.75%","9.26%","1.96%","5.72%","514030","BSE"
"Delta Corp Ltd","260.85","264.70","291.35","258.80","94.85","3.38","77.07","0.13","0.35","15.59%","29.18%","36.20%","5.78%","8.40%","532848","BSE"
"DEN Networks Ltd","99.40","103.60","105.00","93.80","60.85","-7.41","","","","-16.22%","-11.06%","15.45%","-7.03%","-23.37%","533137","BSE"
"Dena Bank","25.10","25.40","50.00","25.05","24.30","-10.53","","","","-23.60%","-34.85%","-11.45%","-0.66%","-11.65%","532121","BSE"
"Denso India Pvt Ltd","142.70","","135.40","","36.50","11.23","12.70","","","-4.69%","-3.43%","-0.19%","-9.51%","-46.24%","520022","BSE"
"DCB Bank Ltd","185.45","186.30","213.00","180.85","102.50","7.56","24.52","0.27","0.50","19.08%","29.31%","42.67%","0.93%","9.99%","532772","BSE"
