"2017-12-01 15:11:27.636468"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","BookValue","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"533570","0.0","0","0","0","0","0.0","0.0","0","0","0.0","0%","0%","0.0","0.0","0.0","533570","BSE"
"523019","44.2","0","0","0","0","36.231","56.467","0","0","0.0","8.81%","13.80%","0.0","0.04896","0.14749","523019","BSE"
"511724","150.15","0","0","0","0","35.737","17.744","0","0","0.0","22.19%","30.34%","0.0","0.0","0.0","511724","BSE"
"507944","176.5","0","0","0","0","236.973","1033.003","0","0","0.0","-3.72%","-2.62%","0.00839","-0.01758","-0.15021","507944","BSE"
"500032","15.23","0","0","0","0","31.486","39.979","0","0","0.0","-2.09%","14.50%","0.19377","0.02854","-0.02612","500032","BSE"
"532382","169.15","0","0","0","0","66.024","58.733","0","0","0.0","-11.61%","-10.43%","-0.07891","0.0","0.0","532382","BSE"
"513142","82.15","0","0","0","0","100.41","128.274","0","0","0.0","8.84%","15.43%","0.17616","0.06374","0.1","513142","BSE"
"532485","476.65","0","0","0","0","41.785","18.951","0","0","0.0","93.10%","97.70%","0.0","0.0","0.0","532485","BSE"
"500038","159.7","0","0","0","0","66.406","141.712","0","0","0.0","17.14%","23.13%","0.26134002","0.12944001","0.42501998","500038","BSE"
"520127","5.35","0","0","0","0","4.393","22.764","0","0","0.0","1.39%","2.38%","0.03076","0.0","0.0","520127","BSE"
"519295","231.85","0","0","0","0","58.361","218.493","0","0","0.0","1.69%","8.17%","0.0968","0.0","0.0","519295","BSE"
"531591","2.65","0","0","0","0","1.265","0.033","0","0","0.0","7.52%","10.33%","0.0","0.0","0.0","531591","BSE"
"532946","40.4","0","0","0","0","54.928","127.999","0","0","0.0","3.17%","3.59%","0.047340002","0.027190002","0.07718","532946","BSE"
"532525","27.0","0","0","0","0","63.928","12.845","0","0","0.0","-90.36%","-90.36%","0.0","-0.00846","-0.16610001","532525","BSE"
"503722","135.15","0","0","0","0","155.848","731.222","0","0","0.0","1.33%","6.06%","0.1067","0.045110002","0.064619996","503722","BSE"
"532916","27.55","0","0","0","0","32.063","58.776","0","0","0.0","-2.56%","5.11%","0.08953","0.01827","-0.04592","532916","BSE"
"532694","14.9","0","0","0","0","57.919","25.042","0","0","0.0","-68.36%","4.47%","0.115030006","0.0014399999","-0.26751","532694","BSE"
"524687","8.11","0","0","0","0","11.628","32.812","0","0","0.0","1.86%","5.49%","0.07051","0.0","0.0","524687","BSE"
"500042","1975.35","0","0","0","0","254.652","1201.311","0","0","0.0","-0.45%","1.87%","0.05074","0.0","0.0","500042","BSE"
"522004","27.95","0","0","0","0","10.623","71.306","0","0","0.0","-5.57%","-5.44%","-0.027490001","-0.038629998","-0.27513","522004","BSE"
"508136","345.25","0","0","0","0","198.248","504.056","0","0","0.0","3.40%","8.75%","0.111099996","0.05387","0.08076","508136","BSE"
"524828","68.15","0","0","0","0","50.776","65.3","0","0","0.0","7.47%","8.87%","0.107650004","0.0","0.0","524828","BSE"
"500048","1666.45","0","0","0","0","524.049","599.085","0","0","0.0","3.40%","4.25%","0.06652","0.014570001","0.03932","500048","BSE"
"509438","1105.0","0","0","0","0","470.351","372.762","0","0","0.0","12.34%","16.03%","0.21521999","0.0","0.0","509438","BSE"
"532230","67.8","0","0","0","0","114.59","232.413","0","0","0.0","-3.31%","-2.56%","0.03101","0.0","0.0","532230","BSE"
"509480","257.9","0","0","0","0","19.584","48.173","0","0","0.0","9.96%","12.74%","0.14995","0.0","0.0","509480","BSE"
"524606","10.26","0","0","0","0","13.38","25.264","0","0","0.0","0.71%","0.88%","0.04054","0.0","0.0","524606","BSE"
"531582","3.04","0","0","0","0","12.234","1.278","0","0","0.0","110.65%","178.71%","0.0","0.0","0.0","531582","BSE"
"511664","3.82","0","0","0","0","21.293","0.0","0","0","0.0","0.98%","1.23%","0.019","0.0","0.0","511664","BSE"
"532930","134.25","0","0","0","0","182.683","476.578","0","0","0.0","2.24%","10.33%","0.110139996","0.033689998","0.0682","532930","BSE"
"524663","22.6","0","0","0","0","9.692","23.065","0","0","0.0","5.17%","10.29%","0.108509995","0.0","0.0","524663","BSE"
"531719","281.0","0","0","0","0","95.345","391.809","0","0","0.0","-1.02%","0.42%","0.023810001","0.0","0.0","531719","BSE"
"530095","16.15","0","0","0","0","20.518","66.629","0","0","0.0","-0.05%","0.56%","0.0061000003","0.0","0.0","530095","BSE"
"504646","108.0","0","0","0","0","70.985","257.3","0","0","0.0","1.44%","3.75%","0.06865","0.0","0.0","504646","BSE"
"512608","3.9","0","0","0","0","4.03","15.212","0","0","0.0","1.59%","4.19%","0.05573","0.0","0.0","512608","BSE"
"500052","193.1","0","0","0","0","9.473","37.741","0","0","0.0","5.53%","9.15%","0.09941","0.093100004","0.24385999","500052","BSE"
"503960","1154.1","0","0","0","0","516.938","1199.061","0","0","0.0","2.64%","0.93%","0.0227","0.0","0.0","503960","BSE"
"500049","186.2","0","0","0","0","31.485","33.735","0","0","0.0","17.60%","18.05%","0.20493999","0.05395","0.17920999","500049","BSE"
"500493","694.1","0","0","0","0","88.412","137.378","0","0","0.0","11.02%","13.22%","0.20158","0.061690003","0.18515","500493","BSE"
"500547","502.75","0","0","0","0","149.766","1023.161","0","0","0.0","4.33%","5.69%","0.06734","0.07322","0.30545","500547","BSE"
"523229","243.8","0","0","0","0","19.823","272.719","0","0","0.0","1.74%","2.74%","0.047280002","0.0","0.0","523229","BSE"
"532454","496.85","0","0","0","0","170.138","230.328","0","0","0.0","2.94%","16.11%","0.36301","0.04046","0.0467","532454","BSE"
"526666","551.0","0","0","0","0","221.126","550.154","0","0","0.0","3.29%","6.87%","0.07788","0.04763","0.08733","526666","BSE"
"500103","91.9","0","0","0","0","88.22","76.952","0","0","0.0","1.62%","-0.08%","0.02853","-0.00022","0.01407","500103","BSE"
"500058","1.94","0","0","0","0","-9.86","0.0","0","0","0.0","0.00%","0.00%","0.0","0.0","0.0","500058","BSE"
"526853","71.3","0","0","0","0","260.135","1114.994","0","0","0.0","-6.73%","-1.92%","0.08051","0.0","0.0","526853","BSE"
"505681","527.65","0","0","0","0","427.887","376.059","0","0","0.0","2.83%","0.99%","0.03647","0.00472","0.0253","505681","BSE"
"532523","432.25","0","0","0","0","0.0","0.0","0","0","0.0","0%","0%","0.0","0.0","0.0","532523","BSE"
"532330","19.1","0","0","0","0","12.411","29.475","0","0","0.0","0.83%","9.60%","0.20694","0.0","0.0","532330","BSE"
"533006","0.08","0","0","0","0","-0.627","0.432","0","0","0.0","-78.78%","-15.49%","-0.03621","-0.02773","0.0","533006","BSE"
"522105","5.91","0","0","0","0","18.956","28.693","0","0","0.0","-17.57%","5.21%","0.090900004","0.0","0.0","522105","BSE"
"532719","63.65","0","0","0","0","18.828","44.179","0","0","0.0","-1.46%","5.89%","0.07918","0.01887","-0.03371","532719","BSE"
"506981","81.55","0","0","0","0","54.146","743.116","0","0","0.0","1.46%","3.09%","0.03949","0.0","0.0","506981","BSE"
"514183","40.15","0","0","0","0","4.994","47.322","0","0","0.0","1.93%","4.67%","0.05787","0.07245","0.201","514183","BSE"
"506197","193.5","0","0","0","0","46.848","89.846","0","0","0.0","9.72%","22.25%","0.2472","0.0","0.0","506197","BSE"
"526225","62.45","0","0","0","0","18.462","96.711","0","0","0.0","-4.87%","-1.10%","0.02388","0.0","0.0","526225","BSE"
"508939","38.0","0","0","0","0","0.583","0.306","0","0","0.0","1.95%","1.39%","0.01908","0.0","0.0","508939","BSE"
"526612","4106.95","0","0","0","0","181.002","1133.976","0","0","0.0","5.20%","8.98%","0.12384","0.11322","0.3447","526612","BSE"
"530809","25.6","0","0","0","0","17.847","42.975","0","0","0.0","2.03%","2.31%","0.03805","0.0","0.0","530809","BSE"
"524370","169.9","0","0","0","0","32.927","113.209","0","0","0.0","10.41%","15.97%","0.18299","0.2042","0.4318","524370","BSE"
"532678","197.65","0","0","0","0","0.0","0.0","0","0","0.0","0%","0%","0.0","0.0","0.0","532678","BSE"
"502219","886.75","0","0","0","0","331.369","241.11","0","0","0.0","23.01%","7.67%","0.13393","0.02917","0.18586999","502219","BSE"
"500074","79.45","0","0","0","0","25.093","19.321","0","0","0.0","56.19%","25.11%","0.25749","0.04598","0.19972","500074","BSE"
"505690","77.7","0","0","0","0","91.726","141.828","0","0","0.0","0.48%","-5.97%","-0.027609998","0.0","0.0","505690","BSE"
